char,pca_3,pca_5,pca_7
172,[-228.69201431  115.97618525 -230.37510428],[-228.69201431  115.97618525 -230.37510428   10.85391569  -61.72079574],"[-228.69201431  115.97618525 -230.37510428   10.85391569  -61.72079574
 -245.88994041 -227.60864365]"
174,[-275.28136889   98.60688638  -55.0284666 ],[-275.28136889   98.60688638  -55.0284666   170.22399606   74.35189638],"[-275.28136889   98.60688638  -55.0284666   170.22399606   74.35189638
  163.21700722  -47.51053075]"
175,[-380.55687049  213.39548889 -135.04875791],[-380.55687049  213.39548889 -135.04875791 -139.56713268   76.15422961],"[-380.55687049  213.39548889 -135.04875791 -139.56713268   76.15422961
 -162.44289225 -354.72555757]"
176,[-387.78027858  183.87829793  -13.86758486],[-387.78027858  183.87829793  -13.86758486   20.26340553  228.75436226],"[-387.78027858  183.87829793  -13.86758486   20.26340553  228.75436226
   24.16604269 -368.19642582]"
177,[-333.15154272  123.71545005  -78.71966096],[-333.15154272  123.71545005  -78.71966096  -90.63189891 -111.73406972],"[-333.15154272  123.71545005  -78.71966096  -90.63189891 -111.73406972
  333.39160589   93.11446128]"
178,[-458.06552679   80.47986797 -167.65880619],[-458.06552679   80.47986797 -167.65880619   14.05947023  254.12640788],"[-458.06552679   80.47986797 -167.65880619   14.05947023  254.12640788
  -19.98896182 -220.52864083]"
179,[-427.41932715   81.37506891 -178.27947834],[-427.41932715   81.37506891 -178.27947834    3.41995939  298.39800272],"[-427.41932715   81.37506891 -178.27947834    3.41995939  298.39800272
   28.0103035  -266.81310251]"
180,[-411.13873437  217.08739394 -150.63520025],[-411.13873437  217.08739394 -150.63520025  -82.99063559  113.28008184],"[-411.13873437  217.08739394 -150.63520025  -82.99063559  113.28008184
 -115.87066044 -405.00935695]"
181,[ 476.75411959 -341.86964349 -401.85043866],[ 476.75411959 -341.86964349 -401.85043866  201.49394388 -308.91595447],"[ 476.75411959 -341.86964349 -401.85043866  201.49394388 -308.91595447
 -101.48139691 -338.06717792]"
182,[  47.13609112  301.3867252  -116.61825952],[  47.13609112  301.3867252  -116.61825952  481.745387    126.87698424],"[  47.13609112  301.3867252  -116.61825952  481.745387    126.87698424
  356.31145458  495.28760018]"
183,[-448.4419285   268.33728287 -144.9037896 ],"[-4.48441928e+02  2.68337283e+02 -1.44903790e+02 -1.06437166e-01
 -1.31515884e+02]","[-4.48441928e+02  2.68337283e+02 -1.44903790e+02 -1.06437166e-01
 -1.31515884e+02 -1.08834420e+02 -2.53361920e+02]"
184,[-378.81674677  241.06343393 -175.61333667],[-378.81674677  241.06343393 -175.61333667 -101.06000107 -154.18684622],"[-378.81674677  241.06343393 -175.61333667 -101.06000107 -154.18684622
 -104.90970319 -420.15016128]"
